lr,gamma,scores,avg_scores
0.001,0.99,-22.48656834882189,-42.749781267823536
0.001,0.99,175.55642164302935,-40.95785672979023
0.001,0.99,-86.13090882407131,-41.231308990911685
0.001,0.99,26.887914559734753,-38.64696328297765
0.001,0.99,-69.09298987857099,-37.64132639789059
0.001,0.99,-3.463691760215653,-38.14579200225316
0.001,0.99,-105.51521199734981,-38.35608386181953
0.001,0.99,-149.53798248741253,-40.70341458127946
0.001,0.99,42.37927554210036,-36.461319516949885
0.001,0.99,147.45362537315972,-35.36499212842942
0.001,0.99,212.64108592982151,-32.076818806001185
0.001,0.99,26.43085029761015,-31.405161308488463
0.001,0.99,106.65404850465009,-30.73308730068422
0.001,0.99,157.25303866659488,-29.87363440423279
0.001,0.99,-156.79783124118106,-31.31374911238111
0.001,0.99,-120.43329945266554,-31.409639160463392
0.001,0.99,104.01121469728018,-28.047490514514763
0.001,0.99,40.748631477573426,-27.803422790448167
0.001,0.99,104.45571810786296,-27.602360697811967
0.001,0.99,128.01381541129814,-24.6697261777783
0.001,0.99,-67.77801538511282,-25.44261386483379
0.001,0.99,-211.02791564498307,-26.64147031625451
0.001,0.99,-30.855853667474904,-27.255319465434983
0.001,0.99,-87.72786239618273,-27.900305854001086
0.001,0.99,-179.54438402068706,-27.852672416803568
0.001,0.99,-152.97229689612388,-30.219843291983192
0.001,0.99,-195.01814691194073,-33.01920098005556
0.001,0.99,-127.8328875920272,-35.82349155989422
0.001,0.99,92.72347487995478,-34.59608601108702
0.001,0.99,149.18353857494947,-34.303833733493676
0.001,0.99,15.664115412891672,-33.47028427707982
0.001,0.99,-180.89210703005432,-36.18713712816625
0.001,0.99,-157.50007496020947,-37.526570424244646
0.001,0.99,-53.444427763182986,-37.392588313585776
0.001,0.99,-157.8063939815907,-38.696743266222065
0.001,0.99,-154.85899742061446,-40.15745620860628
0.001,0.99,30.228075385538048,-37.006100545562234
0.001,0.99,-109.71055348613089,-36.132881859755756
0.001,0.99,201.1924623327991,-33.78522200729356
0.001,0.99,113.38354980382265,-30.223886346904575
0.001,0.99,-229.27741578567054,-30.305769752903938
0.001,0.99,-192.56474568914533,-29.001744748859107
0.001,0.99,-140.8322403793881,-29.934610209421688
0.001,0.99,-163.01437139176375,-32.8742365104467
0.001,0.99,-138.40321809183592,-34.28933344200666
0.001,0.99,-147.99202086257108,-34.19462617997658
0.001,0.99,-87.89888720262937,-34.77243307274721
0.001,0.99,-83.08722066729217,-33.85456546142199
0.001,0.99,-202.9755619875828,-33.46393368512172
0.001,0.99,-187.2705579590493,-36.97447133797857
0.001,0.99,-207.2089640370882,-38.96562264161369
0.001,0.99,-93.0420125064948,-36.593608051627285
0.001,0.99,67.5475284743021,-37.247010527101736
0.001,0.99,-70.76585977379457,-36.165455812978365
0.001,0.99,-66.79628756630696,-35.22236185576202
0.001,0.99,97.67673616066365,-34.5233943771545
0.001,0.99,160.46268054975667,-32.5136817245359
0.001,0.99,89.61259238629276,-31.811557800959783
